 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
 deviceID=0, GPSlat=0.0000000, GPSlong=0.0000000, GPShour=0, GPSmin=0, GPSsec=0, GPSms=0, tempVal=270.94, condVal=0.00, pHVal=-53.28, milliIrradiance=-1.14
